Row,Person,Total Gross,# Movies, Average,#1 Picture,Gross
411,Andrew Niccol,$110.80 ,6,$18.50 ,In Time,$37.50 
412,Will Finn,$109.40 ,3,$36.50 ,Road to El Dorado,$50.90 
413,Denzel Washington,$109.00 ,3,$36.30 ,Fences,$57.70 
414,Victor Salva,$108.40 ,4,$27.10 ,Jeepers Creepers,$37.90 
415,Oren Peli,$107.90 ,2,$54.00 ,Paranormal Activity,$107.90 
416,Dean Israelite,$107.70 ,2,$53.90 ,Power Rangers,$85.40 
417,Frank Miller,$107.70 ,3,$35.90 ,Sin City,$74.10 
418,Evan Goldberg,$107.60 ,2,$53.80 ,This is the End,$101.50 
419,Seth Rogen,$107.60 ,2,$53.80 ,This is the End,$101.50 
420,Duncan Jones,$107.10 ,3,$35.70 ,Source Code,$54.70 
421,Andrew Fleming,$106.60 ,7,$15.20 ,Nancy Drew,$25.60 
422,James Ivory,$103.80 ,14,$7.40 ,Howards End,$26.10 
423,Peter Hedges,$102.00 ,3,$34.00 ,The Odd Life of Timothy Green,$51.90 
424,Niki Caro,$101.00 ,4,$25.30 ,"McFarland, USA",$44.50 
425,Michael Cimino,$101.00 ,7,$14.40 ,The Deer Hunter,$49.00 
426,Alejandro Amenabar,$99.70 ,5,$19.90 ,The Others,$96.50 
427,Steven Quale,$99.20 ,3,$33.10 ,Into The Storm,$47.60 
428,David Lynch,$98.10 ,9,$10.90 ,Dune,$30.90 
429,Beeban Kidron,$96.10 ,5,$19.20 ,Bridget Jones 2,$40.20 
430,Patrick Lussier,$95.30 ,3,$31.80 ,My Bloody Valentine 3-D,$51.50 
431,Jon Hurwitz,$95.10 ,2,$47.60 ,American Reunion,$57.00 
432,Hayden Schlossberg,$95.10 ,2,$47.60 ,American Reunion,$57.00 
433,Bille Woodruff,$93.70 ,4,$23.40 ,Beauty Shop,$36.40 
434,Eli Roth,$93.30 ,5,$18.70 ,Hostel,$47.30 
435,Brad Furman,$92.80 ,3,$30.90 ,The Lincoln Lawyer,$58.00 
436,Tom Vaughan,$92.60 ,3,$30.90 ,What Happens in Vegas,$80.30 
437,John Luessenhop,$92.50 ,3,$30.80 ,Takers,$57.70 
438,Jean-Pierre Jeunet,$92.50 ,7,$13.20 ,Alien Resurrection,$47.80 
439,Alex Kurtzman,$92.20 ,2,$46.10 ,The Mummy (2017),$79.80 
440,Nimród Antal,$91.00 ,5,$18.20 ,Predators,$52.00 
441,Etan Cohen,$90.40 ,1,$90.40 ,Get Hard,$90.40 
442,Klay Hall,$90.30 ,1,$90.30 ,Planes,$90.30 
443,Callie Khouri,$90.30 ,2,$45.10 ,Ya-Ya Sisterhood,$69.60 
444,Julie Anne Robinson,$89.40 ,2,$44.70 ,The Last Song,$63.00 
445,Tod Williams,$88.70 ,3,$29.60 ,Paranormal Activity 2,$84.80 
446,Ryan Murphy,$87.60 ,2,$43.80 ,Eat Pray Love,$80.60 
447,Scott Charles Stewart,$86.70 ,3,$28.90 ,Legion,$40.20 
448,David Wain,$85.80 ,4,$21.50 ,Role Models,$67.30 
449,Pete Travis,$85.70 ,3,$28.60 ,Vantage Point,$72.30 
450,Trey Parker,$85.40 ,3,$28.50 ,"South Park - Bigger, Longer and Uncut",$52.00 
451,Mike Judge,$85.20 ,4,$21.30 ,Beavis and Butt-Head Do America,$63.10 
452,Jodie Foster,$84.50 ,4,$21.10 ,Money Monster,$41.00 
453,Thomas Bezucha,$83.80 ,3,$27.90 ,The Family Stone,$60.10 
454,Mira Nair,$83.60 ,10,$8.40 ,Vanity Fair,$16.10 
455,Sofia Coppola,$83.50 ,6,$13.90 ,Lost in Translation,$44.60 
456,Paul Haggis,$83.50 ,4,$20.90 ,Crash,$54.60 
457,Ernest R. Dickerson,$83.50 ,6,$13.90 ,Bulletproof,$21.60 
458,Craig Brewer,$83.40 ,3,$27.80 ,Footloose,$51.80 
459,Mike Binder,$83.30 ,6,$13.90 ,Black or White,$21.60 
460,John Stockwell,$83.20 ,5,$16.60 ,Blue Crush,$40.40 
461,Kevin Macdonald,$81.80 ,9,$9.10 ,State of Play,$37.00 
462,Charles Stone III,$81.30 ,4,$20.30 ,Drumline,$56.40 
463,Gina Prince-Bythewood,$79.80 ,3,$26.60 ,The Secret Life of Bees,$37.80 
464,Richard Loncraine,$78.40 ,6,$13.10 ,Firewall,$48.80 
465,Jean-Marc Vallee,$78.20 ,4,$19.50 ,Wild (2014),$37.90 
466,Paul King,$76.30 ,1,$76.30 ,Paddington,$76.30 
467,Chris Rock,$76.00 ,3,$25.30 ,Head of State,$38.10 
468,Zach Braff,$75.40 ,3,$25.10 ,Going in Style (2017),$45.00 
469,Rick Famuyiwa,$72.70 ,3,$24.20 ,Brown Sugar,$27.40 
470,Frederik Du Chou,$72.30 ,2,$36.10 ,Racing Stripes,$49.80 
471,Rian Johnson,$72.10 ,3,$24.00 ,Looper,$66.50 
472,Andres Muschietti,$71.60 ,1,$71.60 ,Mama,$71.60 
473,Steven Zaillian,$71.20 ,3,$23.70 ,A Civil Action,$56.70 
474,Tom McCarthy,$70.40 ,4,$17.60 ,Spotlight,$45.10 
475,Mike McCoy,$70.00 ,1,$70.00 ,Act of Valor,$70.00 
476,Nima Nourizadeh,$69.20 ,2,$34.60 ,Project X,$54.70 
477,Michael Tiddes,$69.10 ,3,$23.00 ,A Haunted House,$40.00 
478,John Dahl,$68.90 ,8,$8.60 ,Rounders,$22.90 
479,Stephen Gaghan,$68.80 ,3,$22.90 ,Syriana,$50.80 
480,Tom Tykwer,$68.20 ,8,$8.50 ,Cloud Atlas,$27.10 
481,Terrence Malick,$67.50 ,8,$8.40 ,Thin Red Line,$36.40 
482,Gregory Jacobs,$66.90 ,2,$33.50 ,Magic Mike XXL,$66.00 
483,David Leitch,$65.70 ,2,$32.80 ,John Wick,$43.00 
484,Pedro Almodovar,$64.70 ,15,$4.30 ,Volver,$12.90 
485,Sean McNamara,$64.70 ,4,$16.20 ,Soul Surfer,$43.90 
486,Jeremy Garelick,$64.50 ,1,$64.50 ,The Wedding Ringer,$64.50 
487,Peter Lepeniotis,$64.30 ,1,$64.30 ,The Nut Job,$64.30 
488,Mark Pellington,$64.20 ,6,$10.70 ,Mothman Prophecies,$35.70 
489,Jeff Wadlow,$63.70 ,3,$21.20 ,Kick-Ass 2,$28.80 
490,Greg Strause,$63.20 ,2,$31.60 ,Aliens Vs. Predator - Requiem,$41.80 
491,Mike Flanagan,$62.80 ,2,$31.40 ,Ouija 2,$35.10 
492,Roberto Benigni,$62.50 ,5,$12.50 ,Life Is Beautiful,$57.60 
493,George Nolfi,$62.50 ,1,$62.50 ,The Adjustment Bureau,$62.50 
494,Jonathan Dayton,$62.40 ,2,$31.20 ,Little Miss Sunshine,$59.90 
495,Valerie Faris,$62.40 ,2,$31.20 ,Little Miss Sunshine,$59.90 
496,Mars Marlind,$62.30 ,1,$62.30 ,Underworld Awakening,$62.30 
497,Bjorn Stein,$62.30 ,1,$62.30 ,Underworld Awakening,$62.30 
498,Salim Akil,$61.70 ,2,$30.80 ,Jumping the Broom,$37.30 
499,Tom Hanks,$61.50 ,2,$30.70 ,Larry Crowne,$35.60 
500,Albert Brooks,$61.40 ,7,$8.80 ,Mother (1996),$19.10 
501,Dinesh D'Souza,$61.00 ,3,$20.30 ,2016 Obama's America,$33.40 
502,Steve McQueen (II),$60.70 ,3,$20.20 ,12 Years a Slave,$56.70 
503,John Hillcoat,$60.10 ,4,$15.00 ,Lawless,$37.40 
504,Gregory Nava,$60.00 ,4,$15.00 ,Selena,$35.30 
505,David Mamet,$60.00 ,10,$6.00 ,Heist,$23.50 
506,Paul Schrader,$59.90 ,14,$4.30 ,American Gigolo,$22.70 
507,Christopher Spencer,$59.70 ,1,$59.70 ,Son of God,$59.70 
508,Brad Anderson,$59.60 ,7,$8.50 ,The Call,$51.90 
509,John Herzfeld,$59.20 ,3,$19.70 ,15 Minutes,$24.40 
510,Jose Padilha,$59.00 ,5,$11.80 ,RoboCop,$58.60 
511,Akiva Schaffer,$58.90 ,3,$19.60 ,The Watch,$35.40 
512,Jonathan M. Goldstein,$58.90 ,1,$58.90 ,Vacation,$58.90 
513,Christophe Gans,$58.20 ,2,$29.10 ,Silent Hill,$47.00 
514,Gillian Armstrong,$57.90 ,6,$9.70 ,Little Women (1994),$50.10 
515,Geoffrey Sax,$57.80 ,3,$19.30 ,White Noise,$56.40 
516,Kimberly Peirce,$57.70 ,3,$19.20 ,Carrie,$35.30 
517,Cal Brunker,$57.00 ,1,$57.00 ,Escape From Planet Earth,$57.00 
518,Kenneth Lonergan,$56.90 ,3,$19.00 ,Manchester by the Sea,$47.70 
519,Jane Campion,$56.80 ,7,$8.10 ,The Piano,$40.20 
520,Gary Shore,$56.30 ,1,$56.30 ,Dracula Untold,$56.30 
521,John Wells,$55.80 ,3,$18.60 ,August: Osage County,$37.70 
522,Tommy Wirkola,$55.80 ,2,$27.90 ,Hansel and Gretel,$55.70 
523,Billy Ray,$55.60 ,3,$18.50 ,Breach,$33.20 
524,Kevin Munroe,$55.30 ,2,$27.70 ,TMNT,$54.10 
525,Greg Berlanti,$55.10 ,2,$27.60 ,Life as We Know It,$53.40 
526,Fred Wolf,$54.80 ,2,$27.40 ,The House Bunny,$48.20 
527,James Watkins,$54.40 ,3,$18.10 ,The Woman in Black,$54.30 
528,R.J. Cutler,$54.30 ,2,$27.10 ,If I Stay,$50.50 
529,Anton Corbijn,$53.70 ,3,$17.90 ,The American,$35.60 
530,Sam Miller,$52.50 ,1,$52.50 ,No Good Deed,$52.50 
531,Julie Taymor,$52.50 ,4,$13.10 ,Frida,$25.90 
532,Ava DuVernay,$52.40 ,3,$17.50 ,Selma,$52.10 
533,Leigh Whannell,$52.20 ,1,$52.20 ,Insidious Chapter 3,$52.20 
534,Tom Brady,$51.00 ,3,$17.00 ,The Hot Chick,$35.10 
535,David Seltzer,$50.90 ,3,$17.00 ,Shining Through,$21.60 
536,Stiles White,$50.90 ,1,$50.90 ,Ouija,$50.90 
537,Graham Annable,$50.80 ,1,$50.80 ,The Boxtrolls,$50.80 
538,Anthony Stacchi,$50.80 ,1,$50.80 ,The Boxtrolls,$50.80 
539,Ole Bornedal,$50.60 ,4,$12.60 ,The Possession,$49.10 
540,Jorge R. Gutierrez,$50.20 ,1,$50.20 ,The Book of Life,$50.20 
541,Rod Lurie,$49.80 ,5,$10.00 ,Last Castle,$18.20 
542,Bruce A. Evans,$49.70 ,2,$24.80 ,Mr. Brooks,$28.50 
543,Travis Knight,$48.00 ,1,$48.00 ,Kubo and the Two Strings,$48.00 
544,John Sullivan,$47.90 ,2,$23.90 ,2016 Obama's America,$33.40 
545,John Crowley,$47.10 ,5,$9.40 ,Brooklyn,$38.30 
546,Tim Robbins,$46.70 ,3,$15.60 ,Dead Man Walking,$39.40 
547,Sarah Smith,$46.50 ,1,$46.50 ,Arthur Christmas,$46.50 
548,Christopher Guest,$45.70 ,5,$9.10 ,Best in Show,$18.70 
549,Michel Hazanavicius,$45.10 ,3,$15.00 ,The Artist,$44.70 
550,Dan Bradley,$44.80 ,1,$44.80 ,Red Dawn (2012),$44.80 
551,Elizabeth Allen (II),$44.80 ,2,$22.40 ,Ramona and Beezus,$26.20 
552,James Gray,$44.30 ,6,$7.40 ,We Own the Night,$28.60 
553,Don Roos,$44.00 ,4,$11.00 ,Bounce,$36.80 
554,Diane Keaton,$44.00 ,2,$22.00 ,Hanging Up,$36.10 
555,Karyn Kusama,$43.90 ,4,$11.00 ,Aeon Flux,$25.90 
556,Shana Feste,$43.80 ,3,$14.60 ,Endless Love,$23.40 
557,Derek Cianfrance,$43.70 ,3,$14.60 ,The Place Beyond the Pines,$21.40 
558,Chris Kentis,$43.40 ,2,$21.70 ,Open Water,$30.60 
559,Ric Roman Waugh,$42.90 ,1,$42.90 ,Snitch,$42.90 
560,Davis Guggenheim,$42.90 ,6,$7.20 ,An Inconvenient Truth,$24.10 
561,Michael Dougherty,$42.70 ,1,$42.70 ,Krampus,$42.70 
562,Drew Goddard,$42.10 ,1,$42.10 ,The Cabin in the Woods,$42.10 
563,Courtney Solomon,$42.00 ,3,$14.00 ,An American Haunting,$16.30 
564,Morgan Spurlock,$41.50 ,6,$6.90 ,One Direction: This is Us,$28.90 
565,Todd Field,$41.40 ,2,$20.70 ,In the Bedroom,$35.90 
566,Ken Scott,$41.20 ,3,$13.70 ,Delivery Man,$30.70 
567,Mike Leigh,$41.20 ,11,$3.70 ,Secrets & Lies,$13.40 
568,Daniel Stamm,$41.00 ,1,$41.00 ,The Last Exorcism,$41.00 
569,George Gallo,$41.00 ,6,$6.80 ,Double Take,$29.80 
570,Chris Stokes,$40.50 ,2,$20.30 ,You Got Served,$40.40 
571,Nicole Holofcener,$40.50 ,5,$8.10 ,Enough Said,$17.60 
572,Adam Wingard,$39.60 ,3,$13.20 ,Blair Witch,$20.80 
573,Steven Antin,$39.40 ,1,$39.40 ,Burlesque,$39.40 
574,Patrick Hughes,$39.30 ,2,$19.70 ,The Expendables 3,$39.30 
575,Oliver Parker,$38.80 ,5,$7.80 ,Ideal Husband,$18.50 
576,Michael Radford,$38.50 ,7,$5.50 ,Il Postino,$21.80 
577,Carl Rinsch,$38.40 ,1,$38.40 ,47 Ronin,$38.40 
578,Todd Graff,$37.80 ,3,$12.60 ,Joyful Noise,$30.90 
579,Hayao Miyazaki,$37.40 ,5,$7.50 ,Ponyo,$15.10 
580,Nicolas Winding Refn,$37.30 ,5,$7.50 ,Drive (2011),$35.10 
581,Christian E. Christiansen,$37.30 ,1,$37.30 ,The Roommate,$37.30 
582,Steven Lisberger,$37.20 ,3,$12.40 ,Tron,$33.00 
583,Camille Delamarre,$36.40 ,2,$18.20 ,Brick Mansions,$20.40 
584,Neil Nightingale,$36.10 ,1,$36.10 ,Walking with Dinosaurs,$36.10 
585,Robert Lorenz,$35.80 ,1,$35.80 ,Trouble with the Curve,$35.80 
586,Justin Chadwick,$35.50 ,3,$11.80 ,The Other Boleyn Girl,$26.80 
587,Jake Schreier,$35.30 ,2,$17.70 ,Paper Towns,$32.00 
588,Peter Landesman,$35.20 ,2,$17.60 ,Concussion (2015),$34.50 
589,Daniel Barnz,$35.10 ,3,$11.70 ,Beastly,$27.90 
590,Scott Speer,$35.10 ,1,$35.10 ,Step Up Revolution,$35.10 
591,Todd Strauss-Schulson,$35.10 ,1,$35.10 ,Harold & Kumar 3D,$35.10 
592,Jeff Nichols,$34.80 ,5,$7.00 ,Mud,$21.60 
593,Douglas McGrath,$34.80 ,5,$7.00 ,Emma,$22.20 
594,Mark Romanek,$34.00 ,2,$17.00 ,One Hour Photo,$31.60 
595,Ari Sandel,$34.00 ,1,$34.00 ,The DUFF,$34.00 
596,Drew Dowdle,$33.60 ,1,$33.60 ,Devil,$33.60 
597,Allen Coulter,$33.50 ,2,$16.70 ,Remember Me,$19.10 
598,Gene Wilder,$33.30 ,2,$16.70 ,The Woman in Red,$25.30 
599,Jason Winer,$33.00 ,1,$33.00 ,Arthur (2011),$33.00 
600,Jim Jarmusch,$32.60 ,12,$2.70 ,Broken Flowers,$13.70 
601,Joshua Michael Stern,$32.40 ,2,$16.20 ,Swing Vote,$16.30 
602,Adam Brooks,$32.40 ,3,$10.80 ,"Definitely, Maybe",$32.20 
603,Dan Gilroy,$32.40 ,1,$32.40 ,Nightcrawler,$32.40 
604,Susanna White,$32.20 ,2,$16.10 ,Nanny McPhee Returns,$29.00 
605,Jim Field Smith,$32.00 ,1,$32.00 ,She's Out of My League,$32.00 
606,Mark Tonderai,$31.60 ,1,$31.60 ,House at the End of The Street,$31.60 
607,Joe Nussbaum,$31.50 ,3,$10.50 ,Sydney White,$11.90 
608,Philip Kaufman,$31.20 ,2,$15.60 ,The Right Stuff,$21.20 
609,Scott Frank,$30.90 ,2,$15.50 ,A Walk Among the Tombstones,$26.30 
610,James Ponsoldt,$30.80 ,5,$6.20 ,The Circle,$20.50 
611,Stephan Elliot,$30.40 ,4,$7.60 ,Eye of the Beholder,$16.50 
612,Lone Scherfig,$30.30 ,5,$6.10 ,One Day,$13.80 
613,Andrew Erwin,$30.20 ,3,$10.10 ,Woodlawn,$14.40 
614,Jon Erwin,$30.20 ,3,$10.10 ,Woodlawn,$14.40 
615,J.A. Bayona,$29.90 ,3,$10.00 ,The Impossible,$19.00 
616,Juan Carlos Fresnadillo,$29.00 ,3,$9.70 ,28 Weeks Later,$28.60 
617,Noah Baumbach,$28.90 ,9,$3.20 ,While We're Young,$7.60 
618,Ed Harris,$28.80 ,2,$14.40 ,Appaloosa,$20.20 
619,Greg Coolidge,$28.40 ,1,$28.40 ,Employee of the Month,$28.40 
620,David Gelb,$28.40 ,2,$14.20 ,The Lazarus Effect,$25.80 
621,Whit Stillman,$28.30 ,6,$4.70 ,Love & Friendship,$14.00 
622,Jesse Peretz,$28.20 ,4,$7.00 ,Our Idiot Brother,$24.80 
623,Peter Medak,$27.20 ,6,$4.50 ,Species II,$19.20 
624,Jessica Bendinger,$26.90 ,1,$26.90 ,Stick It,$26.90 
625,Leon Ichaso,$26.50 ,4,$6.60 ,Sugar Hill,$18.20 
626,Lisa Cholodenko,$26.40 ,3,$8.80 ,The Kids Are All Right,$20.80 
627,Tomas Alfredson,$26.30 ,2,$13.10 ,"Tinker, Tailor, Soldier, Spy",$24.10 
628,Tom Gormican,$26.10 ,1,$26.10 ,That Awkward Moment,$26.10 
629,Craig Mazin,$25.90 ,2,$12.90 ,Superhero Movie,$25.90 
630,Alex Garland,$25.40 ,1,$25.40 ,Ex Machina,$25.40 
631,Gary McKendry,$25.10 ,1,$25.10 ,Killer Elite,$25.10 
632,Andrew J. Cohen,$25.00 ,1,$25.00 ,The House,$25.00 
633,Erik White,$24.70 ,1,$24.70 ,Lottery Ticket,$24.70 
634,Joseph Gordon-Levitt,$24.50 ,1,$24.50 ,Don Jon,$24.50 
635,John Gray,$24.10 ,3,$8.00 ,Glimmer Man,$20.40 
636,Troy Nixey,$24.00 ,1,$24.00 ,Don't Be Afraid of the Dark,$24.00 
637,Christian Alvart,$23.60 ,2,$11.80 ,Case 39,$13.30 
638,Alister Grierson,$23.20 ,1,$23.20 ,Sanctum,$23.20 
639,Ice Cube,$23.00 ,1,$23.00 ,Players Club,$23.00 
640,Wally Pfister,$23.00 ,1,$23.00 ,Transcendence,$23.00 
641,Uwe Boll,$22.60 ,4,$5.70 ,House of the Dead,$10.20 
642,Don Scardino,$22.50 ,1,$22.50 ,Burt Wonderstone,$22.50 
643,Mark Brown,$22.40 ,2,$11.20 ,Two Can Play That Game,$22.20 
644,Justin Zackham,$21.80 ,1,$21.80 ,The Big Wedding,$21.80 
645,Chris Gorak,$21.50 ,2,$10.80 ,The Darkest Hour,$21.40 
646,Richard Glatzer,$21.30 ,4,$5.30 ,Still Alice,$18.80 
647,Wash Westmoreland,$21.30 ,4,$5.30 ,Still Alice,$18.80 
648,Robert Duvall,$20.90 ,2,$10.40 ,The Apostle,$19.90 
649,Nick Hurran,$20.80 ,3,$6.90 ,Little Black Book,$20.70 
650,James D. Stern,$20.40 ,4,$5.10 ,Michael Jordan (IMAX),$18.70 
651,Nanette Burstein,$20.20 ,4,$5.10 ,Going the Distance,$17.80 
652,Tom Ford,$19.80 ,2,$9.90 ,Nocturnal Animals,$10.70 
653,Kurt Wimmer,$19.70 ,2,$9.90 ,Ultraviolet,$18.50 
654,Michael Winterbottom,$19.70 ,19,$1.00 ,A Mighty Heart,$9.20 
655,Sean Penn,$19.20 ,2,$9.60 ,Into the Wild,$18.40 
656,Andrew Dominik,$19.20 ,3,$6.40 ,Killing Them Softly,$15.00 
657,Stuart Beattie,$19.10 ,2,$9.50 ,"I, Frankenstein",$19.10 
658,Michael Goldenberg,$19.00 ,1,$19.00 ,Bed of Roses,$19.00 
659,Ross Katz,$18.70 ,1,$18.70 ,The Choice,$18.70 
660,Asger Leth,$18.70 ,2,$9.30 ,Man on a Ledge,$18.60 
661,Ricky Gervais,$18.50 ,1,$18.50 ,The Invention of Lying,$18.50 
662,Dustin Hoffman,$18.40 ,1,$18.40 ,Quartet,$18.40 
663,Jorma Taccone,$18.20 ,2,$9.10 ,Popstar,$9.60 
664,Werner Herzog,$17.90 ,10,$1.80 ,Rescue Dawn,$5.50 
665,Rob Hardy,$17.80 ,3,$5.90 ,The Gospel,$15.80 
666,Jeff Schaffer,$17.80 ,1,$17.80 ,Eurotrip,$17.80 
667,Stephen Chbosky,$17.70 ,1,$17.70 ,The Perks of Being a Wallflower,$17.70 
668,Michael J. Bassett,$17.50 ,1,$17.50 ,Silent Hill 2,$17.50 
669,Vincenzo Natali,$17.50 ,2,$8.80 ,Splice,$17.00 
670,J.C. Chandor,$17.40 ,3,$5.80 ,All Is Lost,$6.30 
671,Pablo Larrain,$17.30 ,4,$4.30 ,Jackie,$14.00 
672,Wayne Kramer,$15.60 ,4,$3.90 ,The Cooler,$8.30 
673,Susannah Grant,$15.50 ,1,$15.50 ,Catch and Release,$15.50 
674,Ed Gass-Donnelly,$15.20 ,2,$7.60 ,The Last Exorcism Part II,$15.20 
675,Michael Haneke,$15.10 ,7,$2.20 ,Amour,$6.70 
676,Trish Sie,$14.90 ,1,$14.90 ,Step Up All In,$14.90 
677,Stanley Tucci,$14.70 ,4,$3.70 ,Big Night,$12.00 
678,Alejandro Monteverde,$14.60 ,2,$7.30 ,Bella,$8.10 
679,Marcus Dunstan,$14.60 ,2,$7.30 ,The Collector,$7.70 
680,Vic Armstrong,$14.00 ,1,$14.00 ,Left Behind,$14.00 
681,Mark Mylod,$14.00 ,1,$14.00 ,What's Your Number?,$14.00 
682,Cary Fukunaga,$13.90 ,3,$4.60 ,Jane Eyre,$11.20 
683,David Palmer,$13.70 ,1,$13.70 ,Hit and Run,$13.70 
684,Julian Schnabel,$13.70 ,5,$2.70 ,The Diving Bell and the Butterfly,$6.00 
685,Wong Kar Wai,$13.10 ,10,$1.30 ,The Grandmaster,$6.60 
686,Drew Barrymore,$13.00 ,1,$13.00 ,Whip It,$13.00 
687,Jee-woon Kim,$12.90 ,5,$2.60 ,The Last Stand,$12.10 
688,Benh Zeitlin,$12.80 ,1,$12.80 ,Beasts of the Southern Wild,$12.80 
689,Mike Mills,$12.80 ,3,$4.30 ,Beginners,$5.80 
690,Laura Lau,$12.80 ,1,$12.80 ,Silent House,$12.80 
691,Akiva Goldsman,$12.60 ,1,$12.60 ,Winter's Tale,$12.60 
692,John Curran,$12.50 ,5,$2.50 ,The Painted Veil,$8.10 
693,Adam Rifkin,$12.20 ,5,$2.40 ,The Chase,$7.90 
694,Jay Duplass,$12.10 ,5,$2.40 ,Cyrus,$7.50 
695,Mark Duplass,$11.90 ,4,$3.00 ,Cyrus,$7.50 
696,Brian Koppelman,$11.70 ,1,$11.70 ,Knockaround Guys,$11.70 
697,David Levien,$11.70 ,1,$11.70 ,Knockaround Guys,$11.70 
698,Heitor Dhalia,$11.70 ,1,$11.70 ,Gone,$11.70 
699,Brian Klugman,$11.50 ,1,$11.50 ,The Words,$11.50 
700,Lee Sternthal,$11.50 ,1,$11.50 ,The Words,$11.50 
701,Denise Di Novi,$11.40 ,1,$11.40 ,Unforgettable,$11.40 
702,Lorene Scafaria,$11.30 ,2,$5.70 ,Seeking a Friend for the End of the World,$7.10 
703,Michael Roskam,$10.90 ,2,$5.40 ,The Drop,$10.70 
704,Michael Dowse,$10.50 ,3,$3.50 ,Take Me Home Tonight,$6.90 
705,Ryan Fleck,$10.30 ,4,$2.60 ,It's Kind of a Funny Story,$6.40 
706,Errol Morris,$10.10 ,8,$1.30 ,The Fog of War,$4.20 
707,Todd Solondz,$9.80 ,8,$1.20 ,Welcome to the Dollhouse,$4.60 
708,Josh Schwartz,$9.40 ,1,$9.40 ,Fun Size,$9.40 
709,Sylvain Chomet,$9.20 ,2,$4.60 ,The Triplets of Belleville,$7.00 
710,Benson Lee,$9.20 ,2,$4.60 ,Battle of the Year,$8.90 
711,John Michael McDonagh,$9.00 ,2,$4.50 ,The Guard,$5.40 
712,Taika Waititi,$8.90 ,3,$3.00 ,Hunt for the Wilderpeople,$5.20 
713,John Pogue,$8.50 ,1,$8.50 ,The Quiet Ones,$8.50 
714,Dan St. Pierre,$8.50 ,1,$8.50 ,Legends of Oz: Dorothy's Return,$8.50 
715,Jason Bateman,$8.00 ,2,$4.00 ,Bad Words,$7.80 
716,Nicholas Jarecki,$7.90 ,1,$7.90 ,Arbitrage,$7.90 
717,Anna Boden,$7.60 ,3,$2.50 ,It's Kind of a Funny Story,$6.40 
718,Tommy Lee Jones,$7.50 ,2,$3.70 ,The Three Burials of Melquiades Estrada,$5.00 
719,Sarah Polley,$7.40 ,3,$2.50 ,Away from Her,$4.60 
720,John Cameron Mitchell,$7.30 ,3,$2.40 ,Hedwig and the Angry Inch,$3.10 
721,Charlie Kaufman,$6.80 ,2,$3.40 ,Anomalisa,$3.80 
722,Atom Egoyan,$6.80 ,5,$1.40 ,Chloe,$3.10 
723,Gareth Evans,$6.70 ,2,$3.40 ,The Raid: Redemption,$4.10 
724,Sacha Gervasi,$6.70 ,2,$3.30 ,Hitchcock,$6.00 
725,Debra Granik,$6.60 ,2,$3.30 ,Winter's Bone,$6.50 
726,David Schwimmer,$6.10 ,2,$3.10 ,Run Fat Boy Run,$6.00 
727,Marc Abraham,$6.10 ,2,$3.00 ,Flash of Genius,$4.40 
728,Craig Johnson,$5.90 ,2,$3.00 ,The Skeleton Twins,$5.30 
729,Gilbert Adler,$5.80 ,1,$5.80 ,Bordello of Blood,$5.80 
730,Charles Ferguson,$5.80 ,3,$1.90 ,Inside Job,$4.30 
731,Pieter Jan Brugge,$5.80 ,1,$5.80 ,The Clearing,$5.80 
732,George Hickenlooper,$5.70 ,5,$1.10 ,Factory Girl,$1.70 
733,Dean Wright,$5.70 ,1,$5.70 ,For Greater Glory,$5.70 
734,Sngmoo Lee,$5.70 ,1,$5.70 ,The Warrior's Way,$5.70 
735,Dan Fogelman,$5.60 ,1,$5.60 ,Danny Collins,$5.60 
736,Diego Luna,$5.60 ,1,$5.60 ,Cesar Chavez,$5.60 
737,Jacques Audiard,$5.40 ,4,$1.40 ,A Prophet (Un prophète),$2.10 
738,Richard Wenk,$5.40 ,2,$2.70 ,Vamp,$4.90 
739,Jez Butterworth,$5.10 ,1,$5.10 ,Birthday Girl,$5.10 
740,Julie Delpy,$5.10 ,3,$1.70 ,2 Days in Paris,$4.40 
741,Todd Lincoln,$4.90 ,1,$4.90 ,The Apparition,$4.90 
742,Philippe Falardeau,$4.70 ,2,$2.40 ,The Good Lie,$2.70 
743,Miranda July,$4.50 ,2,$2.20 ,Me and You and Everyone We Know,$3.90 
744,Russell Crowe,$4.20 ,1,$4.20 ,The Water Diviner,$4.20 
745,Helen Hunt,$3.70 ,1,$3.70 ,Then She Found Me,$3.70 
746,Christopher B. Landon,$3.70 ,1,$3.70 ,Scouts Guide to the Zombie Apocalypse,$3.70 
747,Andrew Jarecki,$3.70 ,2,$1.90 ,Capturing the Friedmans,$3.10 
748,Michael Cuesta,$3.70 ,4,$923k,Kill the Messenger,$2.50 
749,Xavier Dolan,$3.60 ,2,$1.80 ,Mommy,$3.50 
750,Jeremy Saulnier,$3.50 ,2,$1.70 ,Green Room,$3.20 
751,Rowan Joffe,$3.50 ,2,$1.70 ,Before I Go To Sleep,$3.20 
752,Kelly Reichardt,$3.50 ,6,$575k,Certain Women,$1.10 
753,Christopher Hampton,$3.40 ,3,$1.10 ,Carrington,$3.20 
754,Gillian Robespierre,$3.30 ,2,$1.70 ,Obvious Child,$3.10 
755,Lynn Shelton,$3.20 ,5,$631k,Your Sister's Sister,$1.60 
756,Damian Szifron,$3.10 ,1,$3.10 ,Wild Tales,$3.10 
