Row,Person,Total Gross,# Movies, Average,#1 Picture,Gross
159,Harold Ramis,$435.70 ,11,$39.60 ,Analyze This,$106.90 
160,Nick Stoller,$431.30 ,6,$71.90 ,Neighbors,$150.20 
161,Seth Gordon,$430.90 ,5,$86.20 ,Identity Thief,$134.50 
162,Patty Jenkins,$430.70 ,2,$215.40 ,Wonder Woman,$396.20 
163,Jonathan Liebesman,$430.50 ,5,$86.10 ,Ninja Turtles,$191.20 
164,Matt Reeves,$428.20 ,5,$85.60 ,Dawn of the Planet of the Apes,$208.50 
165,David Dobkin,$427.70 ,6,$71.30 ,Wedding Crashers,$209.30 
166,Taylor Hackford,$426.80 ,14,$30.50 ,An Officer and a Gentleman,$129.80 
167,Robert Luketic,$421.00 ,7,$60.10 ,Legally Blonde,$96.50 
168,Guillermo del Toro,$415.30 ,9,$46.10 ,Pacific Rim,$101.80 
169,Martin Brest,$413.80 ,6,$69.00 ,Beverly Hills Cop,$234.80 
170,Alan J. Pakula,$413.80 ,12,$34.50 ,Pelican Brief,$100.80 
171,Irvin Kershner,$411.60 ,4,$102.90 ,The Empire Strikes Back,$290.50 
172,Penny Marshall,$407.00 ,7,$58.10 ,Big,$115.00 
173,Curtis Hanson,$406.80 ,11,$37.00 ,8 Mile,$116.80 
174,Ethan Coen,$402.50 ,8,$50.30 ,True Grit,$171.20 
175,Jennifer Lee,$400.70 ,1,$400.70 ,Frozen,$400.70 
176,Keenen Ivory Wayans,$400.20 ,6,$66.70 ,Scary Movie,$157.00 
177,Walter Hill,$395.00 ,17,$23.20 ,Another 48 HRS.,$80.80 
178,Mel Brooks,$393.60 ,10,$39.40 ,Blazing Saddles,$119.60 
179,Rawson Marshall Thurber,$392.20 ,4,$98.10 ,We're the Millers,$150.40 
180,Jonathan Demme,$391.90 ,20,$19.60 ,Silence of the Lambs,$130.70 
181,James L. Brooks,$391.50 ,6,$65.30 ,As Good as It Gets,$148.50 
182,Tim Hill,$387.80 ,5,$77.60 ,Alvin and the Chipmunks,$217.30 
183,Amy Heckerling,$384.00 ,9,$42.70 ,Look Who's Talking,$140.10 
184,Spike Lee,$379.80 ,21,$18.10 ,Inside Man,$88.50 
185,Anne Fletcher,$377.80 ,5,$75.60 ,The Proposal,$164.00 
186,David Frankel,$375.00 ,7,$53.60 ,Marley and Me,$143.20 
187,Malcolm D. Lee,$371.70 ,9,$41.30 ,The Best Man Holiday,$70.50 
188,Jon Chu,$369.40 ,7,$52.80 ,G.I. Joe: Retaliation,$122.50 
189,Kevin Reynolds,$365.90 ,9,$40.70 ,Robin Hood: Prince of Thieves,$165.50 
190,Andy Fickman,$365.60 ,6,$60.90 ,The Game Plan,$90.60 
191,Matthew Vaughn,$363.70 ,5,$72.70 ,X-Men: First Class,$146.40 
192,Jeff Tremaine,$356.30 ,4,$89.10 ,Jackass 3-D,$117.20 
193,Brad Silberling,$354.00 ,6,$59.00 ,Lemony Snicket,$118.60 
194,Kevin Costner,$348.40 ,4,$87.10 ,Dances with Wolves,$184.20 
195,Jim Abrahams,$348.00 ,8,$43.50 ,Airplane!,$83.50 
196,Seth MacFarlane,$343.40 ,3,$114.50 ,Ted,$218.80 
197,Peter Hyams,$341.80 ,15,$22.80 ,End of Days,$66.90 
198,David Slade,$341.10 ,3,$113.70 ,The Twilight Saga: Eclipse,$300.50 
199,D.J. Caruso,$340.50 ,8,$42.60 ,Eagle Eye,$101.40 
200,Brenda Chapman,$338.70 ,2,$169.30 ,Brave,$237.30 
201,Chris Williams,$336.60 ,2,$168.30 ,Big Hero 6,$222.50 
202,John Hughes,$329.50 ,8,$41.20 ,Ferris Bueller's Day Off,$70.10 
203,Brian Robbins,$329.40 ,10,$32.90 ,Norbit,$95.70 
204,Ben Stiller,$324.00 ,6,$54.00 ,Tropic Thunder,$110.50 
205,Garth Jennings,$323.20 ,3,$107.70 ,Sing,$270.30 
206,Lee Tamahori,$322.50 ,8,$40.30 ,Die Another Day,$160.90 
207,Alex Proyas,$321.00 ,6,$53.50 ,"I, Robot",$144.80 
208,Luc Besson,$318.10 ,12,$26.50 ,Lucy,$126.70 
209,Jaume Collet-Serra,$311.30 ,7,$44.50 ,Non-Stop,$92.20 
210,Baz Luhrmann,$309.90 ,5,$62.00 ,The Great Gatsby,$144.80 
211,Jennifer Yuh Nelson,$308.80 ,2,$154.40 ,Kung Fu Panda 2,$165.20 
212,Nick Cassavetes,$308.70 ,7,$44.10 ,The Other Woman,$83.90 
213,Len Wiseman,$307.70 ,4,$76.90 ,Live Free or Die Hard,$134.50 
214,Brad Peyton,$307.40 ,4,$76.90 ,San Andreas,$155.20 
215,Danny Boyle,$300.20 ,12,$25.00 ,Slumdog Millionaire,$141.30 
216,Tom Hooper,$299.20 ,4,$74.80 ,Les Miserables,$148.80 
217,Harald Zwart,$297.90 ,5,$59.60 ,The Karate Kid,$176.60 
218,Lawrence Kasdan,$297.70 ,11,$27.10 ,The Big Chill,$56.40 
219,Olivier Megaton,$297.50 ,4,$74.40 ,Taken 2,$139.90 
220,Alan Taylor,$296.10 ,2,$148.10 ,Thor: The Dark World,$206.40 
221,Bob Peterson,$293.00 ,1,$293.00 ,Up,$293.00 
222,Michael Lembeck,$291.80 ,4,$73.00 ,The Santa Clause 2,$139.20 
223,John Carpenter,$288.50 ,15,$19.20 ,Halloween,$47.00 
224,Gus Van Sant,$287.90 ,16,$18.00 ,Good Will Hunting,$138.40 
225,Alejandro González Iñárritu,$287.10 ,6,$47.80 ,The Revenant,$183.60 
226,Randall Wallace,$286.20 ,4,$71.60 ,Heaven is for Real,$91.40 
227,Catherine Hardwicke,$285.10 ,7,$40.70 ,Twilight,$192.80 
228,Joseph Ruben,$282.70 ,9,$31.40 ,Sleeping with the Enemy,$101.60 
229,Jason Reitman,$282.50 ,6,$47.10 ,Juno,$143.50 
230,Christopher McQuarrie,$281.20 ,3,$93.70 ,M:I - Rogue Nation,$195.00 
231,Robert Altman,$277.70 ,20,$13.90 ,M.A.S.H.,$81.60 
232,Tate Taylor,$275.80 ,4,$69.00 ,The Help,$169.70 
233,Neil Jordan,$275.70 ,16,$17.20 ,Interview with the Vampire,$105.30 
234,Robert Redford,$274.80 ,9,$30.50 ,Horse Whisperer,$75.40 
235,Steven Brill,$274.50 ,6,$45.80 ,Mr. Deeds,$126.30 
236,Neil Burger,$270.40 ,5,$54.10 ,Divergent,$150.90 
237,Mark Steven Johnson,$269.30 ,5,$53.90 ,Ghost Rider,$115.80 
238,Dan Scanlon,$268.50 ,1,$268.50 ,Monsters University,$268.50 
239,Larry Charles,$261.80 ,5,$52.40 ,Borat,$128.50 
240,Anthony Minghella,$261.20 ,6,$43.50 ,Cold Mountain,$95.60 
241,Joseph Kosinski,$261.20 ,2,$130.60 ,Tron Legacy,$172.10 
242,Ben Affleck,$258.90 ,4,$64.70 ,Argo,$136.00 
243,John Madden,$257.50 ,11,$23.40 ,Shakespeare in Love,$100.30 
244,Stephen Frears,$256.00 ,22,$11.60 ,The Queen,$56.40 
245,Warren Beatty,$255.90 ,5,$51.20 ,Dick Tracy,$103.70 
246,Gary Winick,$255.20 ,7,$36.50 ,Charlotte's Web,$83.00 
247,Frank Marshall,$252.60 ,4,$63.10 ,Eight Below,$81.60 
248,Alexander Payne,$251.90 ,6,$42.00 ,The Descendants,$82.60 
249,Darren Aronofsky,$251.40 ,6,$41.90 ,Black Swan,$107.00 
250,Sean Anders,$250.20 ,5,$50.00 ,Daddy's Home,$150.40 
251,Charles Shyer,$249.70 ,7,$35.70 ,Father of the Bride,$89.30 
252,Don Hall,$249.20 ,2,$124.60 ,Big Hero 6,$222.50 
253,Michael Patrick King,$248.00 ,2,$124.00 ,Sex and the City,$152.60 
254,Gabriele Muccino,$247.90 ,5,$49.60 ,The Pursuit of Happyness,$163.60 
255,Stephen Hopkins,$247.90 ,9,$27.50 ,Lost in Space,$69.10 
256,Dean Parisot,$245.60 ,4,$61.40 ,Fun with Dick and Jane,$110.30 
257,Ken Kwapis,$244.00 ,9,$27.10 ,He's Just Not That Into You,$94.00 
258,Ron Underwood,$243.20 ,7,$34.70 ,City Slickers,$124.00 
259,Brian Helgeland,$242.60 ,5,$48.50 ,42,$95.00 
260,John Moore,$242.50 ,5,$48.50 ,A Good Day to Die Hard,$67.30 
261,Steve Oedekerk,$241.50 ,4,$60.40 ,When Nature Calls,$108.40 
262,Robert Stromberg,$241.40 ,1,$241.40 ,Maleficent,$241.40 
263,Stanley Kubrick,$241.20 ,7,$34.50 ,2001: A Space Odyssey,$57.00 
264,Neill Blomkamp,$240.30 ,3,$80.10 ,District 9,$115.60 
265,Mark Andrews,$237.30 ,1,$237.30 ,Brave,$237.30 
266,P.J. Hogan,$235.00 ,4,$58.70 ,My Best Friend's Wedding,$127.10 
267,James Foley,$232.60 ,12,$19.40 ,Fifty Shades Darker,$114.40 
268,Robert Benton,$231.80 ,9,$25.80 ,Kramer Vs. Kramer,$106.30 
269,Wes Anderson,$231.80 ,8,$29.00 ,The Grand Budapest Hotel,$59.30 
270,David R. Ellis,$231.10 ,6,$38.50 ,The Final Destination,$66.50 
271,Don Bluth,$230.90 ,9,$25.70 ,Anastasia,$58.40 
272,Darren Lynn Bousman,$230.80 ,5,$46.20 ,Saw II,$87.00 
273,Thomas Carter,$226.10 ,5,$45.20 ,Save the Last Dance,$91.10 
274,Tarsem,$224.30 ,5,$44.90 ,Immortals,$83.50 
275,Simon Wells,$222.50 ,6,$37.10 ,Prince of Egypt,$101.40 
276,Boaz Yakin,$221.90 ,7,$31.70 ,Remember the Titans,$115.70 
277,Jimmy Hayward,$220.80 ,3,$73.60 ,Horton Hears a Who!,$154.50 
278,Danny DeVito,$220.60 ,6,$36.80 ,The War of the Roses,$86.90 
279,Frank Darabont,$218.50 ,4,$54.60 ,Green Mile,$136.80 
280,Tom Dey,$217.40 ,4,$54.30 ,Failure to Launch,$88.70 
281,Will Gluck,$217.30 ,4,$54.30 ,Annie (2014),$85.90 
282,Kirk De Micco,$217.30 ,2,$108.60 ,The Croods,$187.20 
283,Terry Gilliam,$216.00 ,10,$21.60 ,12 Monkeys,$57.10 
284,Mimi Leder,$215.20 ,3,$71.70 ,Deep Impact,$140.50 
285,John Whitesell,$213.50 ,6,$35.60 ,Big Momma's House 2,$70.20 
286,Theodore Melfi,$213.50 ,2,$106.80 ,Hidden Figures,$169.40 
287,Joe Roth,$213.20 ,6,$35.50 ,America's Sweethearts,$93.60 
288,Gregory Hoblit,$213.10 ,6,$35.50 ,Primal Fear,$56.10 
289,Denis Villeneuve,$211.80 ,6,$35.30 ,Arrival,$100.50 
290,Kathryn Bigelow,$211.20 ,9,$23.50 ,Zero Dark Thirty,$95.70 
291,Peter Chelsom,$211.00 ,9,$23.40 ,Hannah Montana The Movie,$79.60 
292,Rupert Wyatt,$210.50 ,3,$70.20 ,Rise of the Planet of the Apes,$176.80 
293,Michael Caton-Jones,$210.20 ,9,$23.40 ,The Jackal,$54.90 
294,Simon J. Smith,$210.00 ,2,$105.00 ,Bee Movie,$126.60 
295,Joe Wright,$209.20 ,6,$34.90 ,Atonement,$50.90 
296,Dominic Sena,$208.90 ,5,$41.80 ,Gone in 60 Seconds,$101.60 
297,Kevin Smith,$206.70 ,11,$18.80 ,Cop Out,$44.90 
298,David Bowers,$206.60 ,5,$41.30 ,Flushed Away,$64.70 
299,Thor Freudenthal,$205.60 ,3,$68.50 ,Hotel for Dogs,$73.00 
300,Kenny Ortega,$205.00 ,4,$51.20 ,High School Musical 3,$90.60 
301,Richard Linklater,$203.00 ,17,$11.90 ,School of Rock,$81.30 
302,Tony Gilroy,$202.80 ,3,$67.60 ,The Bourne Legacy,$113.20 
303,Josh Gordon,$201.10 ,3,$67.00 ,Blades of Glory,$118.60 
304,Will Speck,$201.10 ,3,$67.00 ,Blades of Glory,$118.60 
305,Jake Kasdan,$200.60 ,6,$33.40 ,Bad Teacher,$100.30 
306,Timur Bekmambetov,$200.40 ,5,$40.10 ,Wanted,$134.50 
307,Henry Joost,$199.80 ,4,$49.90 ,Paranormal Activity 3,$104.00 
308,Ariel Schulman,$199.80 ,4,$49.90 ,Paranormal Activity 3,$104.00 
309,Allen Hughes,$198.50 ,6,$33.10 ,The Book of Eli,$94.80 
310,George Clooney,$197.90 ,5,$39.60 ,The Monuments Men,$78.00 
311,Rupert Sanders,$195.90 ,2,$97.90 ,Snow White and the Huntsman,$155.30 
312,Luke Greenfield,$193.80 ,4,$48.40 ,Let's Be Cops,$82.40 
313,Morten Tyldum,$192.50 ,4,$48.10 ,Passengers,$100.00 
314,Jonathan Levine,$192.40 ,5,$38.50 ,Warm Bodies,$66.40 
315,Greg Mottola,$191.90 ,5,$38.40 ,Superbad,$121.50 
