,odid,display_name,od_name,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office,name_length,source_category.fiction_tale_novel,source_category.music_dance,source_category.original_screenplay,source_category.others,source_category.play_TV_movie_film,source_category.real_factual,source_category.NA,production_companies_size.Big_15,production_companies_size.Extra_small,production_companies_size.Large,production_companies_size.Medium,production_companies_size.NULL,production_companies_size.Others,production_companies_size.Small,Rank.others.x,Rank.act_1000,Rank.act_250,Rank.act_500.x,Rank.act_750,genre.Action,genre.Adventure,genre.Comedy,genre.Concert/Performance,genre.Documentary,genre.Drama,genre.Horror,genre.Musical,genre.Others,genre.Thriller/Suspense,genre.Western,rating.G,rating.NC-17,rating.Not Rated,rating.Open,rating.PG,rating.PG-13,rating.R,Rank.others.y,Rank.dir_100,Rank.dir_20,Rank.dir_200,Rank.dir_500,Rank.dir_900,Rank.others
4756,90710100,Trilogia I: To Livadi pou dakryzei,Trilogia I To Livadi pou dakryzei,2005,NA,0,6015,1,1,4,0,24514,0,32110,34,0,0,1,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4757,90720100,Hat Trick,Hat Trick,2007,NA,0,15500,1,24,1,0,24502,0,30019,9,0,0,1,0,0,0,0,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4758,90730100,Odete,Odete,2006,NA,0,5289,1,1,6,0,24452,0,31469,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4759,90760100,The Strange Case of Dr. Jekyll and Mr. Hyde,Strange Case of Dr Jekyll and Mr Hyde The (2006),2006,NA,0,19111,30,30,30,0,24216,0,31166,43,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4760,90770100,Bandits,Bandits,1999,NA,0,5358,4,8,29,0,24187,0,40135,7,0,0,1,0,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4761,90790100,Luster,Luster,2003,NA,0,7589,1,1,3,0,24137,0,33737,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4762,90810100,Latalante,Latalante,2000,NA,0,223,1,1,1,0,24084,0,37665,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4763,90830100,Quand la mer monte...,Quand la mer monte,2006,NA,0,8058,2,2,8,0,24038,0,30930,21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4764,90840100,The Man Who Copied,Man Who Copied The,2005,NA,0,2244,1,3,15,0,23989,0,31545,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4765,90860100,Rory O'Shea Was Here,Rory O Shea Was Here,2005,NA,0,6079,3,7,12,0,23844,1447385,31351,20,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4766,90870100,Liar's Club,Liars Club,2001,NA,0,0,0,1,5,0,23792,0,34765,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4767,90880100,Voyages,Voyages,2000,NA,0,1055,1,1,5,0,23778,0,35524,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
